epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88762.1,0.64662,0.74209,1.0198,0.47667,0.66999,0.50856,0.39855,0.70963,0.82387,1.08663,0.0005941,0.0005941,0.0005941
43,90887.2,0.64306,0.73151,1.01702,0.43135,0.69333,0.49937,0.38572,0.71377,0.84312,1.07566,0.0005842,0.0005842,0.0005842
44,93000.8,0.64488,0.72013,1.0212,0.42082,0.72211,0.48396,0.37769,0.71438,0.83242,1.08253,0.0005743,0.0005743,0.0005743
45,95123.4,0.63684,0.70024,1.01966,0.421,0.66511,0.50969,0.39528,0.711,0.85072,1.07839,0.0005644,0.0005644,0.0005644
46,97238.1,0.64152,0.71489,1.01646,0.43526,0.70354,0.5148,0.39708,0.6997,0.80203,1.07695,0.0005545,0.0005545,0.0005545
47,99364,0.62741,0.713,1.00877,0.45258,0.72147,0.51737,0.40854,0.68313,0.80148,1.06395,0.0005446,0.0005446,0.0005446
48,101476,0.61113,0.69301,0.99935,0.47177,0.7177,0.51411,0.40218,0.70677,0.8433,1.081,0.0005347,0.0005347,0.0005347
49,103597,0.62084,0.70299,1.006,0.45309,0.66917,0.507,0.4054,0.67625,0.79683,1.0542,0.0005248,0.0005248,0.0005248
50,105716,0.60635,0.6791,0.9973,0.46031,0.65657,0.50355,0.39916,0.66583,0.79942,1.05556,0.0005149,0.0005149,0.0005149
51,107845,0.60498,0.67026,0.99705,0.50275,0.67938,0.52681,0.42339,0.6705,0.79764,1.05931,0.000505,0.000505,0.000505
52,109959,0.60702,0.67407,0.99791,0.47375,0.65016,0.52474,0.42311,0.67669,0.77553,1.05575,0.0004951,0.0004951,0.0004951
53,112085,0.59179,0.6595,0.99531,0.44966,0.65942,0.50336,0.39652,0.71684,0.83171,1.08531,0.0004852,0.0004852,0.0004852
54,114204,0.58956,0.64716,0.98535,0.47613,0.6972,0.50471,0.4042,0.65537,0.80151,1.04717,0.0004753,0.0004753,0.0004753
55,116332,0.59487,0.65968,0.99244,0.48094,0.63285,0.49698,0.38898,0.71261,0.82231,1.08168,0.0004654,0.0004654,0.0004654
56,118448,0.58464,0.64074,0.98342,0.44588,0.73191,0.51006,0.40758,0.68521,0.81361,1.07005,0.0004555,0.0004555,0.0004555
57,120567,0.57357,0.62844,0.97971,0.48,0.70846,0.51097,0.40501,0.68837,0.79924,1.08028,0.0004456,0.0004456,0.0004456
58,122593,0.57752,0.61666,0.98561,0.46448,0.62975,0.48481,0.38515,0.67944,0.80284,1.07296,0.0004357,0.0004357,0.0004357
59,124723,0.57275,0.61503,0.97915,0.45652,0.74636,0.50871,0.40636,0.68231,0.78783,1.07186,0.0004258,0.0004258,0.0004258
60,126854,0.56536,0.60759,0.9785,0.4965,0.65004,0.50712,0.41119,0.68471,0.77503,1.0891,0.0004159,0.0004159,0.0004159
61,128979,0.55946,0.60734,0.97048,0.45794,0.6845,0.51215,0.41337,0.66158,0.78121,1.07128,0.000406,0.000406,0.000406
62,131133,0.55334,0.60482,0.97033,0.47738,0.71956,0.52185,0.42123,0.66043,0.78206,1.06843,0.0003961,0.0003961,0.0003961
63,133275,0.54481,0.59802,0.97157,0.49103,0.73948,0.50567,0.40903,0.6357,0.77318,1.04045,0.0003862,0.0003862,0.0003862
64,135416,0.54756,0.59163,0.96969,0.51979,0.70219,0.51124,0.41146,0.65237,0.7767,1.05574,0.0003763,0.0003763,0.0003763
65,137547,0.54086,0.57173,0.95857,0.46552,0.72491,0.51308,0.41149,0.64435,0.78083,1.05588,0.0003664,0.0003664,0.0003664
66,139687,0.53843,0.56699,0.96488,0.48566,0.69643,0.53024,0.42727,0.66995,0.7621,1.06054,0.0003565,0.0003565,0.0003565
67,141820,0.53323,0.58067,0.96378,0.50692,0.64254,0.50591,0.41182,0.64763,0.76127,1.0557,0.0003466,0.0003466,0.0003466
68,143951,0.53908,0.56513,0.96315,0.45312,0.71614,0.49751,0.40225,0.64321,0.78424,1.0604,0.0003367,0.0003367,0.0003367
69,146063,0.5293,0.55818,0.96184,0.4703,0.72568,0.49651,0.40401,0.63697,0.77176,1.05289,0.0003268,0.0003268,0.0003268
70,148182,0.52137,0.5401,0.954,0.47816,0.72553,0.50763,0.41467,0.63798,0.7953,1.04555,0.0003169,0.0003169,0.0003169
71,150314,0.52947,0.55137,0.95311,0.4786,0.70829,0.49599,0.40373,0.62791,0.7683,1.05063,0.000307,0.000307,0.000307
72,152420,0.51735,0.54665,0.95839,0.48678,0.63107,0.49358,0.39974,0.64537,0.77838,1.0479,0.0002971,0.0002971,0.0002971
